id,ra,dec,ex,ey,ez,gama,rmag,rabsmag,redshift,rad,sern,pos,ba
6065,178.60996,1.20108,-0.54977,0.29235,0.7824800000000001,12,19.796,-19.2844,0.138701,2.33638,0.9206,-56.7074,0.4858
6410,180.05625,1.17666,-0.16857,0.9293299999999999,0.32852,12,19.4875,-20.4896,0.201719,2.96305,1.5698,-12.422,0.5197
6549,180.67571,1.12805,-0.8104399999999999,0.1276,0.57175,12,19.5178,-19.971,0.164702,3.2690200000000003,0.7677,-44.2637,0.7711
6554,180.70946,1.06311,-0.81348,0.14021,0.5644399999999999,12,19.1875,-20.3002,0.164622,3.7225900000000003,0.7224,77.6692,0.8676
6650,181.09,1.2075,0.6902,-0.67699,0.25558000000000003,12,18.8908,-20.0919,0.133072,2.34191,1.1613,24.0012,0.7545
6853,181.86453999999998,1.19403,-0.5413899999999999,0.12516,0.8314,12,19.1412,-19.4682,0.11348499999999999,3.8119099999999997,1.4965,2.919,0.6228
7016,182.62475,1.2445700000000002,-0.36849,0.43218999999999996,0.82306,12,19.773,-19.6348,0.15921400000000002,3.59335,0.6735,13.7808,0.6748
7062,182.90083,1.20546,-0.17893,-0.9715799999999999,0.15496,12,19.6764,-18.8688,0.11040499999999999,2.07088,0.7231,-42.1766,0.375
7072,182.85708,1.20446,-0.49896,0.72218,0.47906000000000004,12,19.2677,-19.6382,0.128797,3.10982,1.46,36.886,0.6781
7108,182.88978999999998,1.23349,-0.49896,0.72218,0.47906000000000004,12,19.4903,-19.4178,0.128917,3.7883699999999996,0.9983,-38.682,0.5145
7302,183.84179,1.18129,-0.07427,0.45103000000000004,0.88941,12,19.2046,-19.6301,0.124956,3.8264,0.7842,35.3669,0.825
7514,184.95758,1.2176200000000001,0.55085,0.59112,0.58919,12,19.2767,-19.0644,0.101121,3.6126699999999996,1.2769,21.909,0.7146
7570,185.19562,1.15296,-0.5413899999999999,-0.4925,0.68143,12,19.5674,-20.4907,0.208554,2.21866,1.2083,29.6174,0.4433
7575,185.12971000000002,1.1749399999999999,0.30756999999999995,0.13796,0.94147,12,19.5401,-19.0643,0.11324400000000001,3.50009,0.7405,23.2061,0.858
7833,212.20279,1.0887,-0.48931,0.71536,0.49883,15,19.2678,-19.3522,0.114001,3.9703,0.8368,81.4736,0.1754
7870,212.75128999999998,1.08863,0.20415,-0.18227000000000002,0.9618200000000001,15,19.4581,-20.2643,0.18155,3.01344,0.5701,-79.0479,0.587
7874,212.88546000000002,1.0570899999999999,0.5374800000000001,0.60273,0.58977,15,18.8329,-20.3597,0.14543699999999998,3.1636599999999997,1.3981,-31.3576,0.4361
7890,212.93346,1.05754,-0.12013,0.16994,0.97811,15,19.1824,-19.6251,0.123517,3.5653,0.6059,-76.4589,0.8225
7969,214.59275,1.05424,-0.06215,0.35673,0.93214,15,19.7343,-19.0378,0.12166700000000001,2.99923,1.0051,70.3498,0.45
7977,214.95038,1.07945,-0.40824,-0.47005,0.78256,15,19.3822,-19.4868,0.126795,2.90793,0.6731,-25.498,0.3545
8193,175.35275,-1.11954,0.6681,0.18955999999999998,0.7195199999999999,12,19.6362,-20.178,0.188591,3.31851,0.6991,-81.1473,0.8396
8205,175.36358,-1.07277,0.65046,0.22629000000000002,0.72505,12,19.5913,-20.2255,0.188801,4.74057,1.469,-59.1358,0.2138
8242,175.66508000000002,-1.15955,0.8593,0.30430999999999997,0.41108999999999996,12,18.4261,-20.0492,0.107142,4.42664,0.9337,60.2822,0.2677
8333,176.10313,-1.2247700000000001,0.42848,0.4784,0.76651,12,18.3805,-20.043,0.104778,5.17338,1.1678,5.1551,0.4039
8379,176.16313,-1.16872,0.26726,-0.14384,0.95283,12,18.3515,-20.2183,0.111575,5.34281,0.7934,-73.0799,0.6252
8416,176.29638,-1.1150200000000001,0.99119,-0.01575,-0.13153,12,19.2733,-19.2079,0.10740999999999999,4.5834,0.7567,6.5286,0.2629
8469,176.57879,-1.23389,-0.43073,0.5473899999999999,0.7175199999999999,12,18.7985,-20.3197,0.14093,4.50778,1.0121,-32.3827,0.2789
8506,176.68117,-1.18275,-0.24316999999999997,-0.81403,0.52747,12,18.0468,-20.4311,0.10725799999999999,5.20474,0.7865,0.0003,0.5007
8517,176.67633,-1.12765,-0.41098999999999997,0.55202,0.72551,12,19.4783,-19.6373,0.140779,4.83036,0.8063,53.6197,0.4498
8531,176.80579,-1.20575,0.37726,0.38650999999999996,0.8416,12,18.9405,-20.4038,0.155026,2.45718,1.5782,-18.6863,0.2783
8541,176.77658,-1.22547,-0.23219,-0.96757,0.09946,12,19.6671,-19.5452,0.146646,5.04539,1.7391,73.3741,0.3556
8554,176.86796,-1.05406,-0.21249,0.4694,0.85703,12,19.0684,-20.0333,0.139957,5.00649,1.003,-78.3613,0.1922
8611,177.16603999999998,-1.13411,0.77766,0.19378,0.5980800000000001,12,19.7337,-19.9601,0.179404,5.33352,0.296,-61.406,0.1998
8615,177.12146,-1.21086,-0.36069,-0.93229,0.02733,12,19.3649,-20.1182,0.16431600000000002,2.78973,1.3365,-47.0367,0.0732
8664,177.37621000000001,-1.05741,-0.95204,0.21589,0.21683000000000002,12,19.1817,-19.6302,0.12374500000000001,2.9664599999999997,1.5827,-16.4324,0.6361
8794,178.22458,-1.21845,-0.6302800000000001,0.6966600000000001,0.34268000000000004,12,19.0979,-20.4687,0.170148,2.89614,1.4728,-50.0591,0.758
8799,178.11421,-1.19782,0.29812,0.95047,0.0879,12,19.303,-20.272,0.170739,3.2648200000000003,0.6968,74.3416,0.4082
8802,178.17279,-1.13133,0.30612,0.08114,0.9485299999999999,12,19.6408,-20.176,0.188801,2.81503,1.0456,-81.2748,0.4374
8803,178.20896000000002,-1.0554,0.32916999999999996,-0.0507,0.94291,12,19.3758,-20.4524,0.189691,5.52879,1.0333,3.5233,0.7459
8825,178.31021,-1.2231100000000001,-0.40645,0.07185,0.91084,12,19.0735,-19.9574,0.13581700000000002,3.4533,0.5787,-63.5387,0.356
8826,178.31812,-1.08752,-0.34521999999999997,0.19405,0.91824,12,19.6673,-19.3613,0.135686,2.94266,0.6267,-23.4621,0.7342
8986,178.98703999999998,-1.16104,-0.32704,0.62815,0.70602,12,19.5813,-19.2899,0.126913,4.23421,1.4177,-18.0849,0.2841
8995,179.10029,-1.17581,-0.12458,0.02907,0.9917799999999999,12,19.7602,-19.1884,0.131157,3.2983,1.9934,47.8026,0.5572
9074,179.34883,-1.22367,0.39427,-0.6564,0.6431899999999999,12,19.5693,-19.9242,0.165027,3.97974,0.8198,-12.5459,0.8984
9116,179.45629,-1.13693,0.26645,-0.45601,0.84915,12,19.5793,-19.9261,0.165847,3.37572,0.7281,43.0352,0.2348
9234,180.01346,-1.18824,-0.28767,-0.44893,0.846,12,19.3471,-19.5875,0.130382,3.3404599999999998,0.5533,-9.2317,0.3223
9302,180.30208000000002,-1.12771,0.18799000000000002,-0.5021399999999999,0.84411,12,18.3946,-20.2801,0.116704,6.91056,1.2362,-80.099,0.1788
9419,181.21346,-1.22389,-0.45731000000000005,-0.6915,0.55919,12,19.5491,-19.007,0.11092300000000001,4.65595,1.0212,56.5071,0.8006
9886,183.87742,-1.2039,-0.4232,-0.75344,0.50321,12,19.5499,-18.8006,0.101536,4.394430000000001,0.7508,-87.671,0.28
9892,183.81728999999999,-1.06806,0.8574700000000001,0.10135,0.50446,12,19.1447,-19.6833,0.12460299999999999,4.7778599999999996,0.9446,69.6827,0.6739
9970,184.175,-1.1151799999999998,-0.68572,0.6169399999999999,0.38623,12,19.0893,-19.4426,0.109773,4.26462,0.9581,-81.8164,0.3133
9977,184.19917,-1.0819299999999998,0.60309,0.5875199999999999,0.5395399999999999,12,19.6522,-18.7841,0.105358,3.84182,0.5474,40.3928,0.1378
9980,184.27721,-1.09858,0.61537,0.57462,0.53957,12,18.2892,-20.1486,0.10542699999999999,3.8514199999999996,0.9141,78.5876,0.7678
10013,184.44058,-1.17116,-0.10497999999999999,0.6221899999999999,0.7758,12,19.424,-20.2548,0.178292,2.42362,1.8555,22.619,0.4374
10022,184.49383,-1.10554,-0.19742,0.61206,0.76577,12,19.2717,-20.4038,0.178041,2.63878,0.7478,78.082,0.8006
10493,212.85508,-1.05492,0.576,-0.48631,0.6570600000000001,15,18.2971,-20.4323,0.11947100000000001,3.16225,1.413,4.8217,0.6498
10638,216.83292000000003,-1.05873,0.90866,-0.4153,0.04318,15,18.5537,-19.9715,0.109464,4.570790000000001,0.5986,-25.4426,0.2312
10852,175.59267,-0.6621100000000001,0.6363,0.08557999999999999,0.76668,12,18.9609,-19.5582,0.109173,3.22705,1.2551,6.1536,0.4034
10978,176.34462,-0.8142,0.88269,-0.10505999999999999,0.45807,12,18.16,-20.3236,0.107519,4.8341400000000005,1.5089,69.168,0.3657
10991,176.35463000000001,-0.81786,0.01043,-0.07712999999999999,0.99697,12,19.477,-20.1015,0.170996,3.8074,0.7183,-87.006,0.4496
10994,176.38538,-0.7398899999999999,0.25272,-0.22603,0.9407700000000001,12,19.252,-19.2906,0.11028199999999999,4.9139,0.9553,26.1315,0.1484
11009,176.397,-0.8210200000000001,0.74617,0.6624899999999999,-0.0659,12,19.4533,-19.911,0.156328,3.6296800000000005,0.9668,-15.8141,0.1436
11060,176.78158,-0.78628,-0.08663,0.9056700000000001,0.41503999999999996,12,19.2595,-20.3354,0.172165,2.60918,1.739,-17.9848,0.749
11063,176.82783,-0.68096,-0.74239,-0.43896,0.50613,12,19.1112,-19.6984,0.123626,3.3024,0.8772,-21.3206,0.3091
11070,176.82617,-0.73235,-0.65957,0.39432,0.6399,12,18.5633,-20.1549,0.11890099999999999,4.99859,0.5145,12.9834,0.1974
11154,177.16454,-0.7437199999999999,0.8408,0.1829,0.50951,12,19.2861,-20.3918,0.178221,4.92753,1.1167,17.943,0.7387
11164,177.06011999999998,-0.81016,0.4021,-0.29984,0.86511,12,19.3128,-20.1076,0.16005,3.0590599999999997,0.9257,60.0485,0.3564
11167,177.05163000000002,-0.8226399999999999,0.34503,-0.68713,0.6393800000000001,12,19.7236,-19.038,0.12112300000000001,5.2043,0.8424,65.2304,0.1299
11193,177.18521,-0.7370899999999999,0.33463000000000004,-0.3378,0.8797299999999999,12,19.7208,-19.7089,0.16068,2.90908,1.5924,-64.158,0.3384
11235,177.46971000000002,-0.6341100000000001,0.03753,-0.5617800000000001,0.82644,12,19.583,-19.121,0.118177,4.3945300000000005,1.1198,-43.5195,0.7711
11277,177.55879,-0.77066,0.08342000000000001,-0.67184,0.73598,12,19.3939,-19.3966,0.122623,2.8193599999999996,0.8349,76.2596,0.2975
11357,177.91458,-0.63269,0.10247,-0.35076999999999997,0.93084,12,19.0636,-19.718,0.12215999999999999,4.99972,0.9575,31.1946,0.3285
11474,178.33092,-0.65888,0.34131,-0.8549700000000001,0.39057,12,18.7341,-19.7867,0.109253,2.86389,1.8662,-1.381,0.8781
11489,178.33496,-0.66057,0.21375,-0.5524899999999999,0.8056399999999999,12,18.9898,-19.8111,0.12317,5.43958,0.625,-55.3331,0.2046
11494,178.27558,-0.65917,0.10570999999999998,-0.63244,0.76737,12,19.7427,-19.0529,0.12289000000000001,5.50002,1.2139,-9.9161,0.1463
11525,178.53987,-0.73365,0.8317399999999999,0.34085,0.43821000000000004,12,19.2565,-20.4692,0.181799,2.5878400000000004,0.8746,-58.7594,0.3797
11528,178.58708000000001,-0.8077,0.31836,0.7893100000000001,0.5250100000000001,12,18.8894,-19.9039,0.122769,3.1903799999999998,1.5366,-7.2261,0.5029
11550,178.58221,-0.7770600000000001,-0.73401,0.59702,0.32371,12,19.7095,-19.3005,0.134623,4.10281,1.2592,-42.8929,0.2819
11575,178.72137,-0.8215,-0.79713,0.35708,0.4869,12,19.0198,-20.0129,0.135924,3.4129400000000003,1.0689,-50.1901,0.4088
11593,178.97225,-0.71282,0.39642,-0.55972,0.72772,12,18.2075,-20.2595,0.10675699999999999,3.4258900000000003,1.5758,45.1124,0.3225
11693,179.41446000000002,-0.76141,-0.59099,0.03245,0.80602,12,19.1897,-19.9978,0.145121,3.2053599999999998,0.9566,44.2858,0.2362
11847,180.016,-0.64963,-0.2208,0.58762,0.77842,12,18.8703,-19.9591,0.12467400000000001,4.04906,1.4289,7.9075,0.8371
11871,180.06916999999999,-0.6663100000000001,-0.2208,0.58762,0.77842,12,18.4758,-20.352,0.12459300000000001,4.7005099999999995,1.3288,64.9708,0.4877
11885,180.16728999999998,-0.64491,-0.026539999999999998,0.46251000000000003,0.8862200000000001,12,19.4954,-19.3234,0.12411199999999999,4.74385,0.7158,-8.1438,0.4975
11926,180.31229,-0.6766,-0.15458,-0.63495,0.75693,12,19.3325,-19.5174,0.12576400000000001,5.1669,0.6732,-49.6111,0.3767
12017,180.72696000000002,-0.75564,0.76289,-0.5535899999999999,0.33398,12,19.0741,-20.2295,0.152393,5.60206,1.054,-26.3111,0.3872
12130,181.34688,-0.80252,-0.96034,0.14295,0.2394,12,18.85,-20.1088,0.131726,5.63978,0.8788,-41.967,0.2323
12164,181.7095,-0.63425,-0.47293,-0.4419,0.7622800000000001,12,18.5084,-19.9793,0.107715,3.99395,1.2314,-52.9909,0.3934
12539,183.53229,-0.76969,0.36719,0.92032,0.13484000000000002,12,18.4453,-20.0039,0.10594200000000001,4.19421,1.9625,20.1324,0.7223
12834,184.70333,-0.72887,-0.34561,0.35002,0.87065,12,19.02,-20.3686,0.157935,2.37341,1.4245,9.4769,0.6429
12855,184.66638,-0.67414,0.50645,0.8614,0.03876,12,19.4285,-20.3787,0.188051,3.07448,0.7637,63.9989,0.3871
12883,185.11708000000002,-0.69265,0.59485,-0.22680999999999998,0.77118,12,19.033,-20.3483,0.157451,3.4081599999999996,0.8955,-80.6874,0.8705
13224,212.30171,-0.81079,0.09708,0.80233,0.58894,15,19.5834,-19.33,0.129208,3.00601,0.5225,59.5144,0.7885
13241,212.46388,-0.71157,-0.42536,-0.68796,0.58803,15,19.7213,-19.8797,0.172603,2.6981599999999997,1.5862,-39.6871,0.7937
13268,212.64575,-0.82801,-0.37482,0.6060399999999999,0.7015899999999999,15,18.828,-20.2757,0.140072,4.45615,1.0208,-60.8633,0.6875
13305,212.92275,-0.78427,-0.34076999999999996,0.84725,0.40749,15,19.2973,-19.8048,0.139977,2.4251,1.3632,36.3574,0.8103
13334,213.03867000000002,-0.8340700000000001,-0.70681,0.39838,0.58457,15,18.9052,-19.9728,0.12728399999999998,3.22852,1.1147,14.2584,0.6388
13348,213.04304,-0.6814399999999999,0.55508,-0.45356,0.69726,15,18.8053,-20.0979,0.128655,3.40814,1.0911,-21.9014,0.7513
13360,212.96675,-0.8134899999999999,-0.33434,0.9371200000000001,0.10009,15,19.6008,-19.2964,0.128326,2.8313099999999998,1.3241,-19.8848,0.8049
