rmag,rabsmag,redshift,rad,sern,pos,ba,baslot,x_mu,x_sigma,z_mu,z_sigma
17.436,-20.2617,0.07639850000000001,2.9670400000000003,5.6512,-22.7126,0.9094,90.0,0.49118,0.2893,0.96,0.17761999999999997
19.3777,-19.4808,0.126229,2.19515,1.9964,30.7491,0.5659,56.0,0.36966,0.2354,0.8148000000000001,0.2449
18.4305,-20.3483,0.12186400000000001,3.9218300000000004,1.2081,70.7056,0.864,86.0,0.20756799999999997,0.04822000000000001,0.972,0.06742
19.4128,-19.366,0.12216400000000001,6.42997,0.8665,53.1506,0.2825,28.0,0.0933,0.0345,0.912,0.04769999999999999
19.5174,-21.2782,0.281406,2.20749,1.0016,25.4773,0.7065,70.0,0.48628,0.32555999999999996,0.982,0.25881999999999994
18.9274,-21.6975,0.262714,2.63646,4.9426,-57.0412,0.7529,75.0,0.49608,0.180128,0.972,0.1028
18.3738,-21.9795,0.235341,4.9650099999999995,1.6125,25.706,0.2991,29.0,0.4559,0.47550000000000003,0.992,0.17529999999999998
18.5264,-22.3146,0.286573,4.8186599999999995,6.371,63.2466,0.7441,74.0,0.5,0.44610000000000005,0.8540000000000001,0.08249999999999999
19.3024,-18.3954,0.0765387,4.556369999999999,0.5839,26.9431,0.7791,77.0,0.141908,0.016860000000000003,0.8516000000000001,0.28666
19.1378,-21.6414,0.279563,5.246230000000001,2.1029,-61.575,0.5134,51.0,0.248728,0.180128,0.992,0.061619999999999994
18.5885,-22.3528,0.298306,3.9281,1.28,36.3929,0.9336,93.0,0.4559,0.29224,0.9368000000000001,0.12425999999999998
18.7699,-20.3284,0.139755,2.63118,0.7441,79.3585,0.3418,34.0,0.29224,0.23343999999999998,0.9748,0.27505999999999997
18.1302,-20.6003,0.119521,2.7198900000000004,0.8491,-3.1151,0.7813,78.0,0.33242,0.11682000000000001,0.972,0.10221999999999999
16.9577,-20.7548,0.0769993,2.8999599999999996,3.3033,89.5854,0.5357,53.0,0.302628,0.16856400000000002,0.972,0.044219999999999995
17.5776,-21.4295,0.134649,4.70247,1.7751,-6.8901,0.2163,21.0,0.07330800000000001,0.45296,0.8636000000000001,0.2449
19.256,-20.4028,0.176809,2.14272,1.8218,-80.0871,0.5046,50.0,0.293808,0.23814399999999997,0.982,0.24141999999999997
19.0208,-19.5363,0.11097,3.9429800000000004,1.1981,-83.1382,0.5387,53.0,0.19090800000000002,0.036460000000000006,0.9356,0.13412
19.4508,-21.0247,0.247315,2.47817,5.6945,20.3123,0.9427,94.0,0.48138000000000003,0.4559,0.8220000000000001,0.1318
18.7751,-20.59,0.156385,3.13691,0.8694,57.7136,0.2126,21.0,0.268328,0.07330800000000001,0.8740000000000001,0.08481999999999999
19.2026,-19.8045,0.134258,2.74016,1.2876,24.188,0.2408,24.0,0.25108,0.05606000000000001,0.9396,0.24606000000000003
19.0532,-21.5348,0.258878,2.64195,3.2556,-72.4483,0.625,62.0,0.4804,0.25892,0.9396,0.13412
